Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
08/15/2021,53071,33,Walla Walla County,WA,51.2,31103,31102,59.2,29372,60.9,9123,80.3,96.2,34565,56.9,34563,65.7,32533,67.5,10105,88.9,Mod-High,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
08/15/2021,51103,33,Lancaster County,VA,32.3,3427,3426,35.8,3357,37.5,1857,47.8,51.3,3809,35.9,3808,39.8,3712,41.4,2023,52,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI
08/15/2021,50003,33,Bennington County,VT,36,12752,12752,40.7,11888,41.2,4368,52.7,73.7,14451,40.7,14448,46.1,13451,46.6,4765,57.5,Low-Mod,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
08/15/2021,13013,33,Barrow County,GA,13.9,11591,11591,16.8,10789,17.5,3338,31.5,54.5,12131,14.6,,0,,0,,0,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI
08/15/2021,13001,33,Appling County,GA,7.8,1433,1433,9.3,1400,10.1,440,13.5,54.5,1877,10.2,1877,12.2,1768,12.7,489,15,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI
08/15/2021,12041,33,Gilchrist County,FL,25,4651,4651,28.8,4546,30.5,2204,57.4,98.6,6075,32.7,6075,37.7,5876,39.5,2562,66.8,High,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
08/15/2021,35015,33,Eddy County,NM,28.2,16470,16470,34.3,15773,36.7,4329,50.7,83.1,17926,30.7,,0,,0,,0,Mod-High,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI
08/15/2021,13129,33,Gordon County,GA,9.2,5351,5351,10.9,5039,11.4,934,10.5,54.5,,0,,0,,0,,0,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI
08/15/2021,20171,33,Scott County,KS,34.5,1663,1663,41.4,1621,45.6,619,63.7,93.5,1929,40,1929,48.1,1831,51.5,658,67.7,Low-Mod,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
08/15/2021,46115,33,Spink County,SD,33.2,2115,2115,38.7,2044,41.6,827,61.2,83.7,,0,,0,,0,,0,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI
08/15/2021,13163,33,Jefferson County,GA,22.1,3388,3388,26,3297,27.9,1237,42.7,54.5,3875,25.2,3874,29.8,3662,31,1294,44.7,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
08/15/2021,37191,33,Wayne County,NC,36.5,44912,44883,43.3,43383,46.1,13912,66.9,96.3,54237,44,54192,52.3,51899,55.2,15662,75.3,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI
08/15/2021,29151,33,Osage County,MO,30.1,4097,4097,35,3980,37.9,1554,64.3,90.9,4843,35.6,4843,41.4,4623,44,1631,67.5,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
08/15/2021,47081,33,Hickman County,TN,30,7559,7559,34.6,7451,37.3,3111,68.9,97.8,8845,35.1,8843,40.5,8651,43.3,3377,74.8,Mod-High,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI
